mode,threads,ops_per_thread,key_space,distribution,read_pct,throughput_ops_s,lat_min_ns,lat_max_ns,lat_avg_ns,total_updates,total_reads,total_sum,cpu_usr_pct,cpu_sys_pct,cpu_idle_pct,cpu_iowait_pct,cpu_total_pct
0,1,200000,1024,hotspot,0,4288073.83,187,392763,203,200000,0,200000,0.0,4.5,95.5,0.0,4.5
0,2,200000,1024,hotspot,0,2632852.62,187,126748,204,400000,0,400000,1.4,0.0,98.6,0.0,1.4
0,4,200000,1024,hotspot,0,2651822.58,188,753086,470,800000,0,800000,0.0,1.7,98.3,0.0,1.7
0,8,200000,1024,hotspot,0,3906178.90,188,281511344,1499,1600000,0,1600000,0.0,7.0,93.0,0.0,7.0
0,16,200000,1024,hotspot,0,3550933.08,187,509438853,2209,3200000,0,3200000,8.7,60.9,29.6,0.0,69.6
1,1,200000,1024,hotspot,0,1196055.84,191,503983,207,200000,0,200000,0.0,0.0,100.0,0.0,0.0
1,2,200000,1024,hotspot,0,1305920.88,190,136650571,558,400000,0,400000,0.6,5.6,93.8,0.0,6.2
1,4,200000,1024,hotspot,0,2649659.97,190,147638152,712,800000,0,800000,3.4,22.8,73.8,0.0,26.2
1,8,200000,1024,hotspot,0,4535831.57,192,101571721,1040,1600000,0,1600000,5.2,13.8,81.0,0.0,19.0
1,16,200000,1024,hotspot,0,4319598.37,191,451740437,1958,3200000,0,3200000,5.2,30.9,62.9,0.0,36.1
2,1,200000,1024,hotspot,0,661604.87,178,147973505,934,200000,0,200000,0.6,2.5,96.2,0.6,3.1
2,2,200000,1024,hotspot,0,1933331.37,177,724071,205,400000,0,400000,1.8,9.8,88.4,0.0,11.6
2,4,200000,1024,hotspot,0,4276497.09,178,4442685,437,800000,0,800000,5.2,16.9,77.9,0.0,22.1
2,8,200000,1024,hotspot,0,6403222.54,178,16469124,562,1600000,0,1600000,2.1,6.4,89.4,0.0,8.5
2,16,200000,1024,hotspot,0,7357182.41,179,131182317,1002,3200000,0,3200000,14.6,29.3,56.1,0.0,43.9
3,1,200000,1024,hotspot,0,360999.19,1409,2646809,2736,200000,0,200000,0.7,11.4,87.5,0.0,12.1
3,2,200000,1024,hotspot,0,516143.85,1449,3423870,3785,400000,0,400000,0.5,23.2,75.1,0.0,23.7
3,4,200000,1024,hotspot,0,532875.60,1528,5472497,7275,800000,0,800000,1.7,51.4,43.7,0.0,53.1
3,8,200000,1024,hotspot,0,148105.44,0,1418041769,46067,1600000,0,1600000,0.9,19.9,67.1,2.2,20.9
3,16,200000,1024,hotspot,0,361181.64,0,1769976556,38604,3200000,0,3200000,1.5,46.6,26.0,10.5,48.1
4,1,200000,1024,hotspot,0,3162862.53,0,724956,272,200000,0,200000,8.1,35.1,45.9,10.8,43.2
4,2,200000,1024,hotspot,0,4108364.82,177,401796,435,400000,0,400000,6.8,20.5,72.7,0.0,27.3
4,4,200000,1024,hotspot,0,5484569.38,178,1534732,660,800000,0,800000,12.2,41.5,46.3,0.0,53.7
4,8,200000,1024,hotspot,0,4099736.16,0,207646482,1062,1600000,0,1600000,3.9,11.7,79.6,4.9,15.5
4,16,200000,1024,hotspot,0,6827200.24,177,237338721,1412,3200000,0,3200000,3.3,23.3,73.3,0.0,26.7
0,1,200000,1024,zipfian,0,3624225.84,187,413650,219,200000,0,200000,0.0,3.8,96.2,0.0,3.8
0,2,200000,1024,zipfian,0,3981191.89,188,411075,425,400000,0,400000,6.8,20.5,72.7,0.0,27.3
0,4,200000,1024,zipfian,0,3302199.74,186,159118684,674,800000,0,800000,3.0,9.1,87.9,0.0,12.1
0,8,200000,1024,zipfian,0,3599385.08,187,37532396,1603,1600000,0,1600000,6.0,29.8,63.1,0.0,35.7
0,16,200000,1024,zipfian,0,3659505.98,188,510884390,2451,3200000,0,3200000,4.3,25.7,70.0,0.0,30.0
1,1,200000,1024,zipfian,0,3301999.83,190,480997,239,200000,0,200000,6.2,15.6,78.1,0.0,21.9
